feature,importance
package_KEG,0.2508585
size,0.22634415
sub_category_GASEOSAS,0.1503924
brand_num,0.09640122
segment,0.07473212
customer_type_MAYORISTA,0.057399184
package_LATA,0.056109965
customer_type_CANAL FRIO,0.034037586
customer_type_RESTAURANT,0.01656439
X,0.0134328175
Y,0.013087505
num_deliver_per_week,0.010640296
customer_type_MINIMARKET,0.0
customer_type_SUPERMERCADO,0.0
customer_type_TIENDA DE CONVENIENCIA,0.0
